surah_no,ayah_no_surah,surah_name_ar,ayah_ar,label,ayah_en,surah_name_en,surah_name_roman
114,5,سورة الناس,ٱلَّذِي يُوَسۡوِسُ فِي صُدُورِ ٱلنَّاسِ,anger,who whispers into the hearts of humankind,The Mankind,An-Nas
114,4,سورة الناس,مِن شَرِّ ٱلۡوَسۡوَاسِ ٱلۡخَنَّاسِ,sadness,from the evil of the lurking whisperer,The Mankind,An-Nas
111,1,سورة المسد,تَبَّتۡ يَدَآ أَبِي لَهَبٖ وَتَبَّ,anger,"May the hands of Abu Lahab perish, and he himself perish!",The Palm Fiber,Al-Masad
111,3,سورة المسد,سَيَصۡلَىٰ نَارٗا ذَاتَ لَهَبٖ,anger,"He will burn in a flaming Fire,",The Palm Fiber,Al-Masad
111,4,سورة المسد,وَٱمۡرَأَتُهُۥ حَمَّالَةَ ٱلۡحَطَبِ,anger,"and so will his wife, the carrier of thorny kindling,",The Palm Fiber,Al-Masad
111,5,سورة المسد,فِي جِيدِهَا حَبۡلٞ مِّن مَّسَدِۭ,anger,around her neck will be a rope of palmfibre.,The Palm Fiber,Al-Masad
111,2,سورة المسد,مَآ أَغۡنَىٰ عَنۡهُ مَالُهُۥ وَمَا كَسَبَ,sadness,Neither his wealth nor worldly gains will benefit him.,The Palm Fiber,Al-Masad
109,6,سورة الكافرون,لَكُمۡ دِينُكُمۡ وَلِيَ دِينِ,anger,"You have your way, and I have my Way.",The Disbelievers,Al-Kafirun
108,2,سورة الكوثر,فَصَلِّ لِرَبِّكَ وَٱنۡحَرۡ,joy,So pray and sacrifice to your Lord alone.,The Abundance,Al-Kawthar
107,1,سورة الماعون,أَرَءَيۡتَ ٱلَّذِي يُكَذِّبُ بِٱلدِّينِ,anger,Have you seen the one who denies the final Judgment?,The Small kindnesses,Al-Ma'un
107,5,سورة الماعون,ٱلَّذِينَ هُمۡ عَن صَلَاتِهِمۡ سَاهُونَ,anger,yet are unmindful of their prayers;,The Small kindnesses,Al-Ma'un
107,6,سورة الماعون,ٱلَّذِينَ هُمۡ يُرَآءُونَ,anger,"those who only show off,",The Small kindnesses,Al-Ma'un
106,3,سورة قريش,فَلۡيَعۡبُدُواْ رَبَّ هَٰذَا ٱلۡبَيۡتِ,joy,"let them worship the Lord of this Sacred House,",Quraysh,Quraysh
105,2,سورة الفيل,أَلَمۡ يَجۡعَلۡ كَيۡدَهُمۡ فِي تَضۡلِيلٖ,anger,Did He not frustrate their scheme?,The Elephant,Al-Fil
105,3,سورة الفيل,وَأَرۡسَلَ عَلَيۡهِمۡ طَيۡرًا أَبَابِيلَ,fear,"For He sent against them flocks of birds,",The Elephant,Al-Fil
105,5,سورة الفيل,فَجَعَلَهُمۡ كَعَصۡفٖ مَّأۡكُولِۭ,sadness,leaving them like chewed up straw.,The Elephant,Al-Fil
104,4,سورة الهمزة,كَلَّاۖ لَيُنۢبَذَنَّ فِي ٱلۡحُطَمَةِ,anger,Not at all! Such a person will certainly be tossed into the Crusher.,The Traducer,Al-Humazah
104,1,سورة الهمزة,وَيۡلٞ لِّكُلِّ هُمَزَةٖ لُّمَزَةٍ,fear,"Woe to every backbiter, slanderer,",The Traducer,Al-Humazah
102,2,سورة التكاثر,حَتَّىٰ زُرۡتُمُ ٱلۡمَقَابِرَ,fear,until you end up in your graves.,The Rivalry in world increase,At-Takathur
102,8,سورة التكاثر,ثُمَّ لَتُسۡـَٔلُنَّ يَوۡمَئِذٍ عَنِ ٱلنَّعِيمِ,fear,"Then, on that Day, you will definitely be questioned about your worldly pleasures.",The Rivalry in world increase,At-Takathur
102,5,سورة التكاثر,كَلَّا لَوۡ تَعۡلَمُونَ عِلۡمَ ٱلۡيَقِينِ,sadness,"Indeed, if you were to know your fate with certainty, you would have acted differently.",The Rivalry in world increase,At-Takathur
101,4,سورة القارعة,يَوۡمَ يَكُونُ ٱلنَّاسُ كَٱلۡفَرَاشِ ٱلۡمَبۡثُوثِ,fear,"It is the Day people will be like scattered moths,",The Calamity,Al-Qari'ah
101,11,سورة القارعة,نَارٌ حَامِيَةُۢ,fear,It is a scorching Fire.,The Calamity,Al-Qari'ah
101,9,سورة القارعة,فَأُمُّهُۥ هَاوِيَةٞ,sadness,their home will be the abyss.,The Calamity,Al-Qari'ah
100,11,سورة العاديات,إِنَّ رَبَّهُم بِهِمۡ يَوۡمَئِذٖ لَّخَبِيرُۢ,fear,surely their Lord is AllAware of them on that Day.,The Courser,Al-'Adiyat
100,6,سورة العاديات,إِنَّ ٱلۡإِنسَٰنَ لِرَبِّهِۦ لَكَنُودٞ,sadness,Surely humankind is ungrateful to their Lord,The Courser,Al-'Adiyat
